id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
84,"What is the maximum speed beyond this road sign, on a road with an asphalt surface (not an expressway or a motorway), for a driver with less than 2 years of driving experience?",80 km/h.,70 km/h.,60 km/h.,50 km/h.,1,1,"Road Traffic Rules, clause 131. Outside built-up areas the permitted speeds are:
131.2. category A1, A2, A or B vehicles driven by novice drivers, by learner drivers or by people taking the practical driving test, and buses (including school buses): on motorways no more than 100 km/h, on expressways no more than 90 km/h, on roads with an asphalt or concrete surface no more than 80 km/h, and on other roads no more than 70 km/h;
Law on Road Traffic Safety, Article 2. Main definitions used in this Law:
31. Learner — a person who is learning to drive a vehicle in the prescribed manner.
52. Novice driver — a person who has acquired the right to drive a category A, A1, A2, B or B1 motor vehicle and has less than two years of driving experience.",84.jpg
85,In what order will the cars cross the junction?,"Red, yellow, blue.","The red car together with the blue one, then the yellow one.","Yellow, then the red car together with the blue one.",,3,3,"Road Traffic Rules, clause 154. At a junction of roads of unequal priority, a driver travelling on the minor road must give way to vehicles approaching the junction on the major road.",85.jpg
86,Who has priority at the junction?,The driver of the blue car.,The cyclist.,,,2,2,"At the junction we can see road signs and a traffic light, but under the road traffic rules the traffic light takes precedence over the road signs. The traffic light is showing a green signal allowing movement in the directions indicated. The cyclist therefore follows the traffic light and crosses the junction first. The car is turning left, so it must give way to the cyclist turning right (Road Traffic Rules, clause 157).",86.jpg
87,Is it allowed to make a U-turn in this situation?,Yes.,No.,,,2,2,"After turning round, the car would end up in lane A, where it is not allowed to drive.",87.jpg
88,When does a road sign used together with this supplementary plate apply?,When the road surface is dry.,When the road surface is damp (wet).,,,2,1,"Road Traffic Rules, Annex 1, plate 845 ""Wet surface"". It indicates that the sign the plate is used with applies when the surface of the carriageway is damp (wet).",88.jpg
89,What does a horizontal solid black line mark?,"It marks the side surfaces of barriers on sharp bends, steep descents and other dangerous sections.",It marks signalling devices placed on central reservations or safety islands.,It marks kerbs on dangerous sections and raised safety islands.,It marks the side surfaces of barriers on other sections of road.,4,3,A horizontal solid black line marks the side surfaces of barriers on other sections of road.,89.jpg
90,What do horizontal black and white bands mark?,They mark road structures that are a hazard to moving vehicles.,"They mark the lower edge of the structures of bridges, flyovers and tunnels.",They mark signalling devices placed on central reservations or safety islands.,"They mark marker posts, gates and barrier supports.",3,3,Horizontal black and white bands mark signalling devices placed on central reservations or safety islands.,90.jpg
91,What will you do when you are approaching a bend with limited visibility?,I will drive on without changing speed.,I will ease off the accelerator.,I will brake.,,3,3,"When approaching a bend a driver must allow for the fact that it may be sharper than expected, and must therefore choose a safe speed and a suitable position on the road so as not to run into the oncoming lane. A safe speed depends on all the circumstances: the weather, the condition of the road and of the vehicle, and also the driver's experience and how they feel.",91.jpg
92,What do vertical diagonal black and white bands on road structures mark?,They mark road structures that are a hazard to moving vehicles.,"They mark the lower edge of the structures of bridges, flyovers and tunnels.",They mark signalling devices placed on central reservations or safety islands.,"They mark marker posts, gates and barrier supports.",1,3,"Diagonal black and white bands mark the vertical elements of road structures (bridges, flyover supports, the end sections of barriers and so on) where those elements are a hazard to moving vehicles, and they also mark the supports of direction signs Nos 407–409 on central reservations and at road forks.",92.jpg
93,In which directions is movement allowed?,Movement is prohibited.,Left and U-turn only.,Right only.,In all the directions shown.,1,3,"Traffic controller's arms stretched out to the sides or lowered: from the chest side and the back side, all vehicles and pedestrians are prohibited from moving.",93.jpg
94,Does the pavement form part of the definition of a road?,No.,Yes.,,,2,1,"A road is a strip of the surface of the ground or of a structure that is intended and used for traffic, over its full width, including the carriageway of the road (hereinafter — the carriageway), junctions, pavements, shoulders, footpaths and cycle tracks, and central reservations.",94.jpg
95,Must the driver signal when turning left in this situation?,Yes.,No.,,,1,1,"A driver must give warning with the direction indicators for the appropriate direction, or by hand if there are no indicators or they are out of order: before moving off and before stopping; before changing lanes, before starting and before finishing an overtake, before starting and before finishing passing an obstruction, before turning right or left, before making a U-turn, and when leaving a roundabout.",95.jpg
96,Which vehicle will cross the junction first?,1,2,3,4,3,3,"At a junction of roads of unequal priority, a driver travelling on the minor road must give way to vehicles approaching the junction on the major road. If the direction of the major road changes at the junction, drivers travelling on the major road must follow the rules for crossing junctions of equal-priority roads in relation to each other. Drivers travelling on the minor roads must follow those same rules in relation to each other.

Cars 3 and 4 are on the major road. Car 3 continues along the major road while car 4 wants to leave it, so car 3 crosses the junction first and car 4 gives way to it (obstacle on the right). Car 1 goes next, since it is an obstacle on the right for car 2 — so car 2 goes last.",96.jpg
97,What will you do in this situation?,Reduce your speed to 10 km/h so that the children have time to move away.,Use the horn.,"Stop, switch on the hazard warning lights, and drive on only once the children have left the carriageway.",,3,1,"The horn must not be used, so that the children are not startled and do not end up under the wheels of another car. In such a case you should stop and switch on the hazard warning lights (other drivers will not be able to overtake you, because crossing the solid line is prohibited).",97.jpg
98,"A driver who, when the amber traffic light comes on or the traffic controller raises their arm, could only stop by braking sharply is allowed to:",Turn right only.,Drive on.,Brake sharply in any case.,,2,2,"A driver who, when the amber (or white horizontal bar) traffic light comes on or the traffic controller raises their arm, could stop at the places set out in clause 165 of the Rules only by braking sharply is allowed to drive on.",98.jpg
99,Which lane may moped riders use?,Any free lane.,Only the first lane from the right-hand edge of the carriageway.,Both the first and the second lane from the right-hand edge of the carriageway.,Mopeds are prohibited from using traffic lanes.,2,1,"Riders of mopeds and drivers of light quadricycles must use only the first lane from the right-hand edge of the carriageway, keeping as close as possible to its right-hand edge, except when they need to turn left, make a U-turn, pass an obstruction, go straight ahead where the first lane allows only a right turn, or stop or stand on a one-way road.",99.jpg
100,Is a pedestrian allowed to cross a road with a central reservation?,Yes.,No.,,,2,1,"Pedestrians are prohibited from crossing the carriageway at places where there are vehicle or pedestrian barriers and, in built-up areas, also where there is a central reservation (except at pedestrian crossings and junctions).",100.jpg
101,May you drive on if the coupling device between the vehicle and the trailer has failed?,Yes.,No.,,,2,1,"It is prohibited to drive a motor vehicle, a tractor or a self-propelled machine if: the service brake does not work (the driver cannot stop the vehicle with it); the steering mechanism does not work (the driver cannot control the vehicle with it); the coupling device between the vehicle and the trailer is faulty; the windscreen wiper on the driver's side does not work in rain, snow or fog; in the dark or in poor visibility no front left lamp (dipped beam or fog lamp) is lit, or, if at least one rear side light has failed, the hazard warning lights do not work (are not switched on) or no warning triangle is fixed to the rear of the vehicle.",101.jpg
102,Must a vehicle being used for work on the road switch on its amber beacons if it is not obstructing traffic?,No.,Yes.,,,1,1,"A vehicle's amber beacon must be switched on when traffic is being obstructed (because the vehicle, with or without a load, is larger than permitted, when working on the road, when stopped or standing, when moving slowly, when escorting an organised group of cyclists, or when carrying dangerous goods). A lit amber beacon does not give priority; it only draws attention and warns other road users of a possible hazard. Drivers of vehicles with amber beacons switched on must make sure, while driving, standing and/or carrying out work, that this does not endanger road safety.

When road infrastructure or environmental maintenance work is being carried out on a contractual basis and under the conditions set by the road owner, a vehicle with an amber beacon switched on that is needed to carry out the work at that place may drive on grass verges, pavements, footpaths and/or cycle tracks, cycle lanes, central reservations, embankment or cutting slopes and ditches, and may also stop or stand in those places.",102.jpg
103,The traffic light or the traffic controller's signals prohibit crossing the pedestrian crossing. Where must you stop?,No closer than 3 metres before the crossing.,No closer than 5 metres before the crossing.,"Before the ""Stop"" sign or the stop line, or the traffic light, and if there are none — before the controlled pedestrian crossing.",,3,1,"If the traffic light or the traffic controller's signals prohibit movement, the driver must stop before the ""Stop line"" road sign and/or the ""Stop"" line, or the traffic light, and if there are none — before the controlled pedestrian crossing. Drivers who, when the amber (or white horizontal bar) traffic light comes on or the traffic controller raises their arm, could stop at those places only by braking sharply are allowed to drive on.",103.jpg
104,Does incorrect wheel alignment increase fuel consumption?,Yes.,No.,,,1,2,"Incorrect wheel alignment increases rolling resistance, and fuel consumption therefore rises.",104.jpg
105,Which road sign means a vehicle repair workshop?,1,2,3,4,4,1,"1. Mandatory road sign. Stop (a stopping place for scheduled public transport).

2. Service road sign. Rural tourism homestead.

3. Service road sign. Bus station (a place for serving passengers travelling on scheduled local, long-distance and international routes).

4. Service road sign. Workshop (a vehicle repair workshop).",105.jpg
106,A tyre is marked 195/55 R15. What does the number 15 indicate?,The width of the tyre.,The ratio of the tyre's height to its width.,The diameter of the rim.,The tyre's permitted load index.,3,2,"""R"" means that the tyre is radial (in practice cross-ply tyres are sometimes used as well; radial tyres differ from cross-ply ones in their construction and radial tyres are the better ones. Modern cars use radial tyres. Cross-ply tyres are used on slow-moving vehicles such as agricultural machinery and special vehicles). ""195"" is the width of the tyre and ""55"" is its height.

""15"" means that the diameter of the tyre is 15 inches (the wheel diameter of cars can be from 12 to 17 inches, while the wheels of heavier vehicles reach 25 inches or more).

""M+S"" means that the tyre can also be used in winter.

""TUBELESS"" means that the tyre has no inner tube (because of the way it is built, the tyre fits tightly against the rim and holds the air inside itself. In tyres with a tube, an inner tube is fitted inside the tyre and is filled with air, giving the tyre its proper shape).",106.jpg
107,Why is it dangerous to drive fast on an asphalt road in heavy rain?,The windscreen wipers will fail.,Water will get onto the engine and it will cut out.,Aquaplaning (a wedge of water) may occur and the car will become uncontrollable.,,3,2,"It is dangerous to drive at high speed on an asphalt road in heavy rain, because a wedge of water (aquaplaning) forms under the car's wheels and the car becomes hard to control. The wedge of water is a thin gap of water between the carriageway and the tyre. It forms because of high speed and worn tyre tread.",107.jpg
108,What must the driver on whose side the obstruction lies do if it is difficult to pass an oncoming vehicle?,They must give way to the oncoming vehicle.,"Speed up and pass the obstruction, because they have priority.",,,1,1,"If it is difficult to pass an oncoming vehicle, the driver on whose side the obstruction lies must give way.",108.jpg
109,Are pedestrians allowed to walk along the edge of the carriageway?,"It is allowed in two rows, facing the direction of traffic.","It is allowed, if there is no pavement, footpath or shoulder or they cannot be used, in single file facing the direction of traffic.",It is prohibited.,"It is allowed, if there is no pavement, footpath or shoulder or they cannot be used, in single file in the same direction as the traffic.",2,2,"Pedestrians must use pavements, footpaths, or shared footpaths and cycle tracks (on the side intended for pedestrians), and where there are none — the shoulder. If there is no pavement, footpath, shared footpath and cycle track or shoulder, or they cannot be used, walking in single file along the edge of the carriageway is allowed. Pedestrians moving along the shoulder or the edge of the carriageway, and those using roller skates, skateboards or non-powered scooters on the shoulder, must move facing the direction of traffic.",109.jpg
110,How must a load be marked if it projects 0.2 m beyond the sides of the vehicle?,With squares carrying alternating reflective diagonal white and red stripes.,With brightly coloured flags.,No marking is needed.,With squares carrying alternating reflective diagonal white and orange stripes.,1,2,"If a load projects more than 1 m beyond the vehicle at the front or the rear, or if its side edge projects at all beyond the side of the vehicle, it must be marked as set out in Annex 4 to the Rules.

The outermost points of a load projecting more than 1 m beyond the vehicle at the front or the rear, or projecting at all to the side, and the outer points of vehicles wider than 2.6 m, must be marked with distinguishing signs — squares with 400 mm sides carrying alternating reflective diagonal white and red stripes 50 mm wide. These signs must be fixed to the vehicle no lower than 0.4 m and no higher than 1.6 m above the ground. In the dark or in poor visibility, lamps must be lit at those points on the vehicle — white at the front, amber at the sides and red at the rear.",110.jpg
111,What is the best way to brake on a slippery road?,"Brake in pulses, with frequent presses of the service brake, without locking the wheels and without disengaging the clutch and the gear.",Disengage the gear and brake with the parking (hand) brake.,,,1,2,"A car is more stable when it is driven in gear, because this allows the engine's torque to be controlled more effectively. When the engine is running it passes turning force through the gearbox, which changes the speed and the torque. In gear, the engine works at a steady torque, which makes it easier to control the car's stability and its driving force. Using the gears effectively also reduces the risk of skidding, especially in difficult weather or when you need to stop quickly. It is therefore recommended to drive in gear and to use the gear change properly, so that driving stays safe and predictable.

With the clutch and the gear still engaged the car is more stable, because the driven wheels meet resistance from the engine and so help to brake and steady the car.

When braking with intermittent presses of the brake pedal the car does not lose grip on the road surface and stays more stable than when the wheels are locked completely, because then the wheels start to slide and the car becomes uncontrollable.",111.jpg
112,"On which side of the carriageway may people on roller skates, skateboards or non-powered scooters travel?",Along the edge of the carriageway in the direction of traffic.,Along the edge of the carriageway facing the direction of traffic.,"It is prohibited, except in residential zones.",,3,1,"Pedestrians are prohibited from using roller skates, skateboards or non-powered scooters on the carriageway, except in a residential zone.",112.jpg
113,Traffic in the picture is controlled by traffic lights. The pedestrian must:,Carry on across the road.,Wait on the safety island until the traffic light allows them to continue.,Turn round and go back.,,2,1,Pedestrians must not linger or stand about on the carriageway. Those who have not managed to cross the carriageway must wait on a safety island or on the marked or imaginary line separating the traffic flows of opposing directions. They may finish crossing the carriageway only after making sure that it is safe to do so.,113.jpg
114,When must a cyclist crossing the point where a cycle track meets a road give way to other vehicles?,In all cases.,"They do not have to give way, because they have priority.",Where the cycle track meets the road away from a junction and traffic is not controlled.,When a vehicle is approaching from the right.,3,2,"A cyclist intending to cross the carriageway where traffic is not controlled, or where there are no road signs establishing priority, must give way to vehicles travelling on the carriageway, except when crossing exits from premises beside the road, from a residential zone, a yard or a car park, and when crossing a carriageway into which other drivers are turning.",114.jpg
115,At what distance before the start of their zone of validity are the road signs shown placed in a built-up area?,50–100 m.,100–150 m.,150–200 m.,150–300 m.,1,1,"The dangerous section of road marked by warning signs Nos 101–137, 150 and 151 starts 50–100 m beyond the place where the warning sign is installed in a built-up area, and 150–300 m beyond it outside a built-up area. If those warning signs are installed together with the supplementary plate ""Distance to object"", the dangerous section starts at the distance given on that plate. If they are installed together with the supplementary plate ""Zone of validity ahead"", that plate indicates the length of the dangerous section, which starts 50–100 m beyond the warning sign in built-up areas and 150–300 m beyond it outside built-up areas.",115.jpg
116,At what distance from a bus stop is it prohibited to leave a motor vehicle standing if it obstructs scheduled public transport?,10 m.,15 m.,20 m.,23 m.,1,1,"Stopping and standing are prohibited in the stopping bays of scheduled public transport and closer than 15 m to them (where there is no bay — closer than 15 m to the ""Stop"" road sign), if this would obstruct the movement of scheduled public transport; standing is prohibited within the zone of validity of the ""Taxi rank"" road sign.",116.jpg
117,Is it allowed to cross the solid road marking line in this situation?,Yes.,No.,,,1,1,"If the requirements of a road sign and of the road markings differ, the road sign must be followed. In this case, following the road sign, the obstruction must be passed on the left, even though the narrow solid white line says otherwise.

A narrow solid line separates traffic flows of opposing directions and prohibits driving in the oncoming lane on the marked section of road; it marks the edges of lanes, sections of the carriageway that must not be entered, the boundaries of parking spaces and the edge of the carriageway; where road sign No 413 ""Footpath and cycle track"" is used, it separates the part of the track intended for cyclists from the part intended for pedestrians. Crossing this line is prohibited, except where it marks the edge of the carriageway or a parking space.",117.jpg
118,Must a driver wear a seat belt when reversing in a built-up area?,Yes.,No.,,,2,1,In built-up areas a driver is allowed not to wear a seat belt when reversing or in car parks.,118.jpg
119,When does the centrifugal force decrease in a turn?,When the speed is increased.,When the speed is reduced.,When the radius of the turn is reduced.,,2,2,The centrifugal force acting on a car is greater in a sharp turn. In a sharp turn the centrifugal force will be smaller if the turn is taken slowly.,119.jpg
120,"If the speed increases from 15 km/h to 45 km/h, the braking distance increases:",Three times.,Six times.,Nine times.,Twelve times.,3,2,"The higher the speed, the longer the braking distance (the relationship is a square one): that is, if you double the speed, the braking distance becomes four times longer.",120.jpg
121,Which driver is breaking the Road Traffic Rules in the situation shown (the yellow and the black car are on a two-way road)?,The driver of the black car.,The driver of the yellow car.,The driver of the blue car.,,2,3,Overtaking at junctions is prohibited.,121.jpg
122,A lorry with a maximum authorised mass of 3 t is allowed to go:,Left only.,In all directions.,Left and make a U-turn.,,3,1,Lorries of up to 3.5 tonnes are treated as cars (category B).,122.jpg
123,What should you do if the right-hand wheels of the car drift off the asphalt onto a gravel shoulder?,"Without braking, steer the car back onto the carriageway by turning the steering wheel slowly to the left.","Braking sharply, steer the car back onto the carriageway.",Stop and then move off again.,,1,2,"In this case the car can be brought back onto the carriageway safely without braking, by turning the steering wheel slowly to the left. If you tried to bring the car back onto the carriageway without braking but by turning the steering wheel sharply to the left, the increased centrifugal force could make the car skid or roll over. Braking sharply in this situation could take the car off its path, because during braking the grip of the right-hand wheels on the shoulder would be much lower than the grip of the left-hand wheels on the asphalt.",123.jpg
124,Is it allowed to stop on the shoulder at this spot?,It is allowed.,It is prohibited.,,,1,2,"A sign prohibiting stopping and standing applies only as far as the end of the built-up area. In this situation, therefore, the car is allowed to stand like this.",124.jpg
125,Which driver has priority? The driver of the blue car is making a U-turn at the junction.,The driver of the yellow car.,The driver of the blue car.,,,1,3,"In this case the drivers of the blue and the yellow car are in an equal position, because they are at a junction of equal-priority roads. The blue car is making a U-turn at the junction, so before it finishes turning round an obstacle appears on its right — the yellow car — and the blue car must therefore give way to the yellow one.",125.jpg
126,"Who is allowed to stop beyond these road signs in the situation shown (the lane is marked with the letter ""A"")?",Bicycles and mopeds.,Motorcycles without a sidecar.,Scheduled public transport.,,3,1,"Scheduled public transport is allowed to stop, but not to stand. Other vehicles may not stop beyond the signs, because they are prohibited from entering the lane for scheduled public transport marked with the letter A, unless they are about to turn right.",126.jpg
127,In which directions is a car allowed to go in the situation shown?,Straight ahead.,To the left.,Driving on is prohibited.,,1,2,The sign with its supplementary plate shows that motor vehicles are prohibited from using the street to the left. A car may therefore go straight ahead.,127.jpg
128,Is it allowed to carry people in a car that is being towed?,No.,Yes.,,,1,1,"Carrying people in a car that is being towed is prohibited. Only a vehicle without passengers may be towed (except the driver, if that is needed to control the vehicle).",128.jpg
129,The road sign indicates:,Cars are prohibited.,The end of the expressway.,,,2,1,"Road Traffic Rules, Annex 1, sign 556. Road sign ""End of road for motor vehicles"". The end of the road on which the traffic rules laid down for expressways apply.",129.jpg
130,Is it allowed to drive through a lit tunnel during the day with only the daytime running lights switched on?,It is allowed.,It is prohibited.,,,2,1,"Driving through a tunnel, even a lit one, counts as driving in poor visibility. You must therefore switch on the dipped beam headlights in a tunnel; daytime running lights are not enough. Daytime running lights (for example the LEDs on modern cars) and dipped beam headlights are not the same thing.",130.jpg
131,Does a road marking that allows a left turn from the far left lane also allow a U-turn?,"Yes, it does.","No, it does not.","Yes, but only on working days.",The Road Traffic Rules do not define this.,1,1,"Road markings:
1.16. Arrows show the directions of travel permitted in a lane. A dead-end symbol warns that turning into the nearest carriageway is prohibited. A marking that allows a left turn from the far left lane also allows a U-turn.",131.jpg
132,What does this road sign mean?,Speed limit zone.,Low emission zone.,Parking zone.,,2,1,"Road sign 561 — ""Low emission zone"". An area of a city, established by the municipal council, in which on all roads beyond the sign the movement of motor vehicles, tractors and self-propelled machines is restricted or completely prohibited, except for zero-emission vehicles.",132.jpg
133,What does the road sign shown prohibit?,Driving more slowly than the speed shown.,Driving faster than the speed shown.,"Driving faster than the speed shown, except for scheduled public transport.",,1,1,"Road Traffic Rules, Annex 1, sign 329. Road sign ""Speed limit"". It is prohibited to drive faster (in km/h) than shown on the sign.",133.jpg
134,This road sign indicates:,The direction of travel on roads where roadworks are being carried out.,The number of lanes and the directions of travel in each lane.,,,1,1,The number of arrows drawn on this sign does not depend on the number of traffic lanes.,134.jpg
135,In what order will the cars cross the junction?,"Red, green, blue.","Green, blue, red.","Green, red, blue.","Blue, red, green.",3,3,"At this junction of equal-priority roads the green car goes first, because it has no obstacle on its right. Once it has passed, the red car no longer has an obstacle on its right and so goes second. The blue car crosses the junction last, because it had an obstacle on its right — the red car.",135.jpg
136,Which car has stopped correctly on this two-way road while waiting for the green traffic light?,The green car.,The red car.,Both cars have stopped incorrectly.,,3,2,"The green car did not stop before the ""Stop"" line, and the white car is turning from the wrong lane (it is driving against the traffic).",136.jpg
137,"Is it allowed to go straight ahead (there is a ""250 m"" plate under the sign)?",Yes.,No.,,,1,2,"These road signs show that entry is prohibited 250 m further on, but that you may drive on for another 250 m.",137.jpg
138,Where must you stop?,Before the sign (at point C).,At the edge of the junction (at point B).,Before the edge of the carriageway you are crossing (at point A).,,1,1,"Road Traffic Rules, Annex 1, sign 204. Road sign ""Stop"". It is prohibited to proceed without stopping before the ""Stop"" line, or, if there is none, before the road sign.",138.jpg
139,What is marked by this distinguishing sign?,A school vehicle carrying children.,"A motor vehicle, or a combination of vehicles, used for driving instruction.",A car with studded tyres.,A car driven by a deaf person.,2,1,"Distinguishing sign 10. The front and the rear of motor vehicles and of combinations of vehicles with trailers used for driving instruction must be marked with a white equilateral triangle with a red border and a black letter ""M"" in the middle. The side of the triangle is 200–300 mm long and the width of the border is 1/10 of the length of the side.",139.jpg
140,In what order will the vehicles cross the junction if the police car has its beacons and siren switched on?,"Police car, motorcycle, yellow car.","Police car, yellow car, motorcycle.","Yellow car, police car, motorcycle.","Motorcycle, yellow car, police car.",2,3,"Road Traffic Rules, clause 154. At a junction of roads of unequal priority, a driver travelling on the minor road must give way to vehicles approaching the junction on the major road.
Road Traffic Rules, clause 12. Road users must give way immediately to approaching emergency vehicles with blue and red (or only blue) beacons and sirens switched on, and to the vehicles they are escorting. Way is given to such vehicles and an emergency corridor is formed as follows:
12.1. on a road with one lane in each direction, drivers must stop on the right-hand shoulder or, where there is none, at the right-hand edge of the carriageway;
12.2. on a road with two or more lanes in one direction, drivers moving in that direction in the far left lane must move as far left as possible, right up to the corresponding edge of the carriageway used for that direction, and stop, while drivers moving in the same direction in the other lanes to the right of the far left lane must move as far right as possible, towards the right-hand edge of the carriageway or the shoulder, and stop;
12.3. on a road with a central reservation, the requirements of clauses 12.1 and 12.2 of the Rules must be followed only by drivers moving in the same direction.",140.jpg
141,Do you have priority?,Yes.,No.,,,1,1,"Road Traffic Rules, Annex 1, sign 206. ""Priority over oncoming traffic"". A narrow section of road on which the driver travelling through it has priority over approaching oncoming traffic.",141.jpg
142,"In this situation at 10 o'clock in the morning you, in the red car, may:",Turn right.,Make a U-turn.,Go straight ahead.,Go straight ahead and turn left.,3,2,"The driver may not turn left or make a U-turn, because at 10 o'clock the sign prohibiting the turn applies. Turning right is not allowed either, because the car is in the second lane of the carriageway. To turn right it would have to move into the first lane. Only going straight ahead is left.",142.jpg
143,The sign indicates:,A pedestrian crossing.,Pedestrians are prohibited from walking on the side of the road where the sign is placed.,Only pedestrians may pass.,,2,1,"Road Traffic Rules, Annex 1, sign 310 ""No pedestrians"". Pedestrians are prohibited from walking on the side of the road where the sign is placed.",143.jpg
144,Which car will cross the junction third?,The green car.,The blue car.,The cherry-red car.,The red car.,2,3,"The cherry-red car goes first, because it is on the major road. The green car goes second: it will stop in the middle of the junction and move off only after letting the cherry-red car pass. The blue car then goes third (having let the cherry-red car pass), and finally the red car, because when turning left it must give way to vehicles coming from the opposite direction that are going straight ahead or turning right (the blue car).",144.jpg
145,Is the cyclist allowed to go straight ahead through the junction?,It is prohibited.,"It is allowed, after letting the car pass.",,,2,2,"The cyclist must give way, because the traffic light is red for them. A green arrow in an additional traffic light section allows movement only when there is nothing in the way. Where there is no shoulder, a cyclist is allowed to ride in the far right lane of the carriageway, keeping as close as possible to its right-hand edge.",145.jpg
146,"Which road sign has the meaning ""Vehicle ferry, port or landing stage""?",1,2,3,,1,1,"Road sign 732. ""Vehicle ferry, port or landing stage"". A floating bridge or a vessel used to carry vehicles across a sea, lake, river or other body of water. This sign may also mark a port or a landing stage.",146.jpg
147,In which case is it allowed to pass this road sign if your vehicle is higher than the height shown on it?,If you drive at a safe speed.,It is allowed only with a special permit.,It is not allowed in any case.,,3,1,"Getting a special permit does not make the vehicle smaller, nor does it make the obstacle higher. A safe speed will not get you past the obstacle either. If your vehicle is higher than the height shown on the sign, you may not proceed.",147.jpg
148,In what order should this junction be crossed?,"1, 2, 3.","3, 2, 1.","2, 1, 3.","1, 3, 2.",1,3,"Car No 1 crosses the junction first, because it is travelling on the major road and its path stays on the major road. Car No 2 goes second, because it is also leaving the major road. Vehicle No 3 must give way to both cars, because the road sign ""Give way"" applies to it and it is on the minor road: the driver must give way to vehicles travelling on the crossing or joining road and, where the supplementary plate No 843 ""Direction of the major road"" is used, to vehicles travelling on the major road.",148.jpg
149,Beyond the road sign shown:,Driving no faster than 70 km/h is allowed.,Driving no slower than 70 km/h is allowed.,The minimum speed restriction has ended.,,3,1,"Road Traffic Rules, Annex 1, sign 415. Road sign ""End of minimum speed limit"".",149.jpg
150,Which road sign prohibits a vehicle from standing on working days only?,No 1 and No 5,No 2,No 3,No 4,4,1,"1. Road sign 333 — No standing.
2. Road sign 334 — No standing on odd days.
3. Road sign 335 — No standing on even days.
4. Road sign 333 — No standing, together with plate 823 — Working days.
5. Road sign 333 — No standing, together with plate 822 — Non-working days.",150.jpg
151,Overtaking is prohibited:,Only for cars.,"For all vehicles, of all vehicles, except single vehicles travelling at less than 30 km/h.",Only of cars and lorries with a maximum authorised mass below 3.5 tonnes.,,2,1,"Road Traffic Rules, Annex 1, sign 325 ""No overtaking"". It is prohibited to overtake moving vehicles, except single vehicles (or single combinations of vehicles) travelling at less than 30 km/h.",151.jpg
152,May you turn into the road on the right after seeing this road sign?,Yes.,No.,,,1,1,"This sign shows the direction of the major road at a place with limited visibility, but it does not prohibit turning the other way if there is a road there.",152.jpg
153,Which vehicles are allowed to stand in the parking space marked by this road sign?,"Vehicles marked with the ""Disabled person"" distinguishing sign.",Only vehicles with special permits.,Vehicles serving premises in the area.,Scheduled public transport.,2,1,"Road Traffic Rules, Annex 1, sign 531. ""Reserved parking space"". A parking space where vehicles may stand only with special permits. Permits that are not electronic are displayed behind the windscreen.",153.jpg
154,Is it allowed to turn left in this situation if you are driving a car with a trailer?,Yes.,No.,,,2,1,"Road Traffic Rules, Annex 1, sign 307. No vehicles with trailers (it is prohibited to drive cars, tractors and self-propelled machines with trailers).",154.jpg
155,The driver of a car is reversing. Who has priority in this situation?,The pedestrian.,The driver of the car.,,,1,1,"In this situation it does not matter that the person is not using a crossing and is therefore breaking the rules. When reversing, the driver must give way to all other road users, even those who are breaking the rules.",155.jpg
156,What do these road signs indicate?,You are approaching on a minor road a junction beyond which the one-way street ends.,You are approaching on a minor road a junction beyond which a one-way street begins.,,,1,1,"Road Traffic Rules clauses:
Road Traffic Rules, Annex 1, sign 203. ""Give way"". The driver must give way to vehicles travelling on the crossing road.
Road Traffic Rules, Annex 1, sign 504. ""End of one-way street"".",156.jpg
157,Which vehicle is breaking the rules?,The driver of the first car.,The driver of the second car.,Both cars are standing correctly.,Both cars are standing incorrectly.,2,2,"When stopping or standing beside a solid line, at least 3 m must be left up to that line. Car 2 has left only 2.5 m and is therefore breaking the rules. Car 1 has left 2 m up to the edge of the carriageway, so it is not breaking the rules.",157.jpg
158,What path does a trailer follow when a bus goes round a bend?,It moves towards the outside of the bend.,It follows the same path as the bus.,It moves towards the inside of the bend.,It moves towards the inside of the bend only at high speed.,3,2,"When going round a bend, the trailer's wheels always follow a smaller radius than the bus's wheels. You can see this from the tracks left by the wheels of the bus and the trailer when going round a bend on a carriageway that is covered in snow or is wet.",158.jpg
159,What should you do in this situation?,Reduce speed and let the bus driver complete the manoeuvre.,The bus driver is prohibited from entering the oncoming lane.,Pass the bus by driving on the pavement.,,1,1,"Road Traffic Rules, clause 107. Where, because of its size or for other reasons, a vehicle cannot turn (or turn round) from the outermost position, turning is also allowed from a position other than the corresponding edge of the carriageway used for that direction, provided that this will not obstruct other vehicles and will not endanger other road users.
Road Traffic Rules, clause 125. Vehicles (except bicycles and electric micromobility vehicles) are prohibited from passing vehicles travelling in the same direction on their right (except for the permitted passing on the right of vehicles that are turning left or making a U-turn) while driving on the shoulder or in a deceleration or acceleration lane. Slower vehicles travelling in the same direction should be passed on the left.",159.jpg
