id,question,option_a,option_b,option_c,option_d,correct,difficulty,explanation,picture
50,Ką nurodo šis kelio horizontalusis ženklinimas?,"Nurodo, kad artėjama prie „Stop"" linijos, kai ji naudojama kartu su ženklu ""Stop"".","Nurodo, kad artėjama prie būtino sustojimo vietos.","Nurodo vietą, kur privaloma praleisti pėsčiuosius.",,1,1,"Užrašas „STOP“ praneša, kad artėjama prie 1.11 ženklinimo linijos, kai ji naudojama kartu su kelio ženklu „Stop“.",50.jpg
51,"Važiuodamas blogo matomumo sąlygomis, vairuotojas turi pasirinkti tokį greitį, kad sustojimo kelias būtų:",Mažesnis už matomo kelio ruožo ilgį.,Didesnis už matomo kelio ruožo ilgį.,,,1,2,"Tai užtikrina, kad pastebėjus kliūtį, automobilis spės sustoti saugiai, neviršijant matomos zonos ribų.",51.jpg
52,Apie ką įspėja šis simbolis užsidegęs prietaistų skydelyje?,Perdegė saugikliai.,Nekraunamas akumuliatorius.,Gedimas stabdžių antiblokavimo sistemoje.,,3,2,"Užsidegęs ABS (angl. Anti-lock Braking System) simbolis prietaisų skydelyje įspėja apie gedimą stabdžių antiblokavimo sistemoje. Tai reiškia, kad sistema aptiko klaidą ir automatiškai išjungė ABS funkciją, jog būtų išvengta neteisingo stabdžių veikimo.",52.jpg
53,Kuriame iš nurodytų variklio darbo režimų akumuliatoriaus baterija yra vienintelis imtuvų naudojamos energijos šaltinis?,Kai variklio alkūninio veleno sukimosi dažnis yra vidutinis ir didesnis.,Kai nedirba variklis.,Kai variklio alkūninio veleno sukimosi dažnis mažas ir vidutinis.,,2,3,"Akumuliatorius vienintelis energijos šaltinis yra ACC (priedų) režime, kai variklis neveikia.",53.jpg
54,Kuriuos ratus stabdo stovėjimo stabdys?,Tik galinius.,Tik priekinius.,"Ir priekinius, ir galinius.",Galinius arba priekinius.,4,2,"Stovėjimo stabdys stabdo priekinius arba galinius ratus, priklausomai nuo automobilio konstrukcijos. Daugelyje lengvųjų automobilių jis veikia galinius ratus, tačiau kai kuriose senesnėse arba specialiose mašinose gali būti sujungtas su priekiniais ratais.",54.jpg
55,"Įvažiuodami į sankryžą, kurioje eismas vyksta ratu, visada privalote:",Sukti į dešinę.,Rodyti posūkio į dešinę signalą.,Sukti į kairę.,,1,1,"Įvažiuodami į sankryžą, kurioje eismas vyksta ratu, visada privalote duoti kelią ja jau važiuojantiems transporto priemonių vairuotojams. Pagal KET, įvažiuojant į žiedinę sankryžą negalima rodyti posūkio signalo. Taip pat privaloma laikytis nustatytų eismo juostų, paisyti žiedinę sankryžą reguliuojančių kelio ženklų (pvz., „Duoti kelią“), šviesoforų ir saugaus greičio.",55.jpg
56,"Iš kelio be dangos ketinate pasukti į dešinę, į kelią su asfalto danga. Kaip pasielgsite šioje situacijoje?","Važiuosiu pirma(s), nes turiu pirmumo teisę.",Praleisiu iš kairės atvažiuojantį automobilį.,,,2,2,"Pagal Kelių eismo taisykles (KET), išvažiuodami iš kelio be dangos (žvyrkelio, lauko ar miško kelio) į asfaltuotą kelią, privalote duoti kelią ir sustoti (jei reikia) ir praleisti visas transporto priemones, važiavimo kryptimi kertančias jūsų kelią, nes asfaltuotas kelias šiuo atveju yra laikomas pagrindiniu, palyginti su keliu be dangos.",56.jpg
57,"Kodėl pravažiavęs (-usi) posūkį turite įsitikinti, kad posūkio signalas išjungtas?",Kad neakinčiau kitų eismo dalyvių.,Kad nesekinčiau akumuliatoriaus,Kad negadinčiau posūkio indikatoriaus perjungiklio (rėlės).,Kad neklaidinčiau kitų eismo dalyvių.,4,1,"Pravažiavus posūkį būtina įsitikinti, kad posūkio signalas išjungtas, jog neklaidintumėte kitų eismo dalyvių ir išvengtumėte avarinių situacijų. Klaidingas signalas gali priversti kitus vairuotojus klaidingai manyti, kad vėl sukate ar sustojate, o tai sukelia pavojų.",57.jpg
58,Ar leidžiama apsisukti šioje sankryžoje 15 valandą?,Taip.,Ne.,,,2,2,"Šioje sankryžoje matosi kelio ženklas, kuris nurodo, kad galima važiuoti tiesiai arba pasukti į kairę. Po ženklo yra lentelė su laiku „14–17 h“, tai reiškia, kad tais valandomis galioja šis apribojimas. Kadangi apsisukti ženklas neleidžia, 15 valandą apsisukti negalima.",58.jpg
59,"Važiuojant automagistrale, sugedo Jūsų automobilis. Sustojote asfaltuotame kelkraštyje. Kur saugiausia laukti pagalbos?",Ant vejos (šalikelėje).,Už automobilio.,Automobilyje.,Prieš automobilį.,1,2,"Saugiausia laukti pagalbos už kelio atitvarų, ant žalios vejos (šalikelėje), toliau nuo važiuojamosios dalies.",59.jpg
60,Ką reiškia brūkšninė balta linija išilgai kelio vidurio?,Reikia saugotis priešpriešais atvažiuojančių transporto priemonių.,"Kirsti ją galima tik tokių atveju, kai tai daryti saugu.",Nelenkti.,,2,1,Brūkšninė balta linija išilgai kelio vidurio žymi eismo juostų ribas ta pačia kryptimi važiuojančioms transporto priemonėms.,60.jpg
61,Kada galite sustabdyti transporto priemonę važiuojamųjų dalių sankirtoje?,Kai laukiu galimybės pasukti į kairę.,"Kai esant intensyviam eismui suku į dešinę, į pagrindinį kelią.",Niekada.,,1,2,"Kai laukiate pasukti į kairę, leidžiama sustoti, kad praleistumėte priešpriešinį eismą.",61.jpg
62,Ką reiškia šis ženklas?,Draudžiama įvažiuoti.,Draudžiama važiuoti tiesiai.,Privaloma važiuoti tiesiai.,,3,1,Ženklas privaloma važiuoti tiesiai.,62.jpg
63,"Kokiu didžiausiu greičiu leidžiama važiuoti krovininiu automobiliu, kurio didžiausioji leidžiamoji masė yra 3,5 t, tempiant priekabą gyvenvietėje?",40 km/h,60 km/h,50 km/h,,3,2,"Ženklas „Gyvenvietė"" (Tytuvėnai), reiškia, kad įvažiuojate į gyvenvietę ir pradeda galioti gyvenvietės taisyklės. Maksimalus greitis 50 km/h.",63.jpg
64,"Išlaikęs (-iusi) egzaminus valstybės įmonėje „Regitra"", galite pradėti važinėti savarankiškai:",Tuojau pat.,Tik gavęs (-usi) vairuotojo pažymėjimą.,Turėdamas (-a) egzamino protokolo kopiją.,,2,1,"Nors egzaminai išlaikyti, vairuoti leidžiama tik turint fizinį pažymėjimą, nes jį privaloma pateikti patikrinimo metu. ",64.jpg
65,"Ar leidžiama lengvojo automobilio vairuotojui sustoti dešinėje kelio, pažymėto šiuo kelio ženklu, juostoje?",Leidžiama,Draudžiama,,,2,1,"Ženklas rodo, kad dešinioji eismo juosta skirta maršrutiniam transportui (autobusams). Dėl to lengvojo automobilio vairuotojui joje sustoti negalima, nebent papildomi ženklai leistų.",65.jpg
66,Ar leidžiama vežti žmones prikabinamame vasarnamyje?,Leidžiama,Draudžiama,,,2,1,"Prikabinamasis vasarnamis nėra skirtas žmonėms vežti važiuojant, todėl jame keleivių būti negali.",66.jpg
67,Kaip pasielgsite į stačią įkalnę važiuodamas (-a) automobiliu su mechanine pavarų dėže?,Įjungsiu aukštesnę pavarą.,Įjungsiu žemesnę pavarą.,Paliksiu tą pačią pavarą.,,2,2,"Važiuojant į stačią įkalnę su mechanine pavarų dėže reikia žemesnės pavaros, nes ji suteikia daugiau traukos ir varikliui lengviau tempti automobilį į kalną.",67.jpg
68,Dėl priešais Jus važiuojančios lėtaeigės transporto priemonės esate priversti smarkiai sumažinti vairavimo greitį. Kaip pasielgsite?,"Pasignalizuosiu šviesomis, ragindama(s) važiuoti greičiau.","Važiuosiu arti iš paskos, kad kuo greičiau aplenkčiau.","Važiuosiu iš paskos tol, kol atsiras galimybė saugiai aplenkti.",,3,2,"Net jei priekyje važiuojanti lėtaeigė transporto priemonė trukdo, negalima spausti jos šviesomis ar važiuoti per arti. Reikia laikytis saugaus atstumo ir laukti momento, kai aplenkti bus saugu ir leidžiama.",68.jpg
69,Važiuojate automagistrale. Kada galite važiuoti kairiąja eismo juosta?,Kol apvažiuosiu dešiniąja eismo juosta lėčiau važiuojančias transporto priemones.,"Galiu važiuoti visą laiką, net jei dešinioji eismo juosta laisva.",,,1,2,"Automagistralėje reikia važiuoti kuo dešiniau, o kairioji juosta skirta lenkti ar apvažiuoti. Baigus manevrą, reikia grįžti į dešiniąją juostą.",69.jpg
70,Vairavimo egzamino metu:,"Važiuosiu labai lėtai, kad padaryčiau įspūdį egzaminuotojui.",Važiuosiu kaip esu įpratęs (-usi).,,,2,1,"Per vairavimo egzaminą nereikia specialiai važiuoti neįprastai lėtai ar kitaip stengtis padaryti įspūdį. Svarbiausia vairuoti ramiai, užtikrintai, laikantis kelių eismo taisyklių ir taip, kaip esate įpratęs saugiai vairuoti.",70.jpg
71,Reguliuotojo rankos nuleistos. Sankryžoje įjungtas raudonas šviesoforo signalas. Ar Jums leižiama važiuoti tiesiai?,Leidžiama,Draudžiama,,,1,2,"Kai sankryžoje eismą reguliuoja reguliuotojas, jo signalai yra svarbesni už šviesoforo signalus. Jei reguliuotojo rankos nuleistos ir jis stovi šonu į jus, važiuoti tiesiai leidžiama, nors šviesoforas rodo raudoną signalą.",71.jpg
72,Ką reiškia šis kelio ženklas?,Visų buvusių apribojimų pabaiga.,"Zonos, kurioje draudžiama stovėti, pabaiga.","Zonos, kurioje draudžiama sustoti, pabaiga.",Pagrindinio kelio pabaiga.,4,1,"Geltonas rombas reiškia pagrindinį kelią, o perbrauktas įstrižomis juodomis linijomis jis rodo, kad pagrindinis kelias baigiasi. Toliau važiuojant reikia atidžiai stebėti kitus ženklus ir sankryžose vadovautis pirmumo taisyklėmis.",72.jpg
73,Sankryžoje ketinate pasukti į dešinę. Kaip pasielgsite šioje situacijoje?,"Pasuksiu prieš dviratininką, nes turiu pirmumo teisę.",Praleisiu tiesiai važiuojantį dviratininką ir pasuksiu.,,,2,2,Sukdamas į dešinę privalote praleisti ta pačia kryptimi tiesiai važiuojantį dviratininką. Tik jį praleidę galite saugiai atlikti posūkį.,73.jpg
74,Kokia eilės tvarka transporto priemonės važiuos per sankryžą (baltam automobiliui šviečia žalias šviesoforo signalas)?,"Rudas kartu su žaliu, baltas.","Žalias, rudas, baltas.","Baltas, rudas kartu su žaliu.",,3,3,"Žalios spalvos šviesoforo signalas dega visiems trims automobiliams. Pirmasis per sankryžą važiuos baltas automobilis, todėl kad rudas ir žalias sukdami į kairę privalo praleisti sukančius į dešinę automobilius. ",74.jpg
75,"Turintiems mokymo įstaigos išduotą pažymėjimą, važiuoti dviračiu keliais leidžiama nuo:",12 m.,14 m.,16 m.,,1,1,"KET 55. Važiuoti važiuojamąja dalimi dviračiu leidžiama ne jaunesniems kaip 14 metų asmenims, o išklausiusiems Lietuvos Respublikos švietimo, mokslo ir sporto ministerijos nustatytą mokymo kursą ir turintiems mokyklos išduotą pažymėjimą, – ne jaunesniems kaip 12 metų asmenims. Prižiūrint suaugusiajam, važiuoti važiuojamąja dalimi dviračiu leidžiama ne jaunesniems kaip 8 metų asmenims. Gyvenamojoje zonoje dviračių vairuotojų amžius neribojamas.",75.jpg
76,Ar balto automobilio vairuotojas turi pirmumo teisę važiuoti (jis suka į kairę)?,Turi.,Neturi.,,,2,2,"Abu automobiliai yra pagrindiniame kelyje, todėl tarpusavyje laikosi dešinės pusės taisyklės. Mėlynas neturi kliūties iš dešinės, todėl važiuoja pirmas. Todėl baltas pirmumo šiuo atveju neturi.",76.jpg
77,"Kurių transporto priemonių vairuotojai, važiuodami rodyklių kryptimis, privalo duoti kelią kitiems eismo dalyviams?",Raudono automobilio.,Juodo automobilio.,Mėlyno automobilio.,Dviračio vairuotojas.,3,3,"Mėlyno automobilio vairuotojas išvažiuoja iš stovėjimo aikštelės (kiemo), todėl privalo duoti kelią visoms kelyje, į kurį įvažiuoja, transporto priemonėms.",77.jpg
78,"Kokia eilės tvarka transporto priemonės važiuos per sankryžą (juodas automobilis važiuoja su įjungtais oranžinės spalvos švyturėliais, baltas suka į kairę)?","Baltas ir mėlynas kartu, juodas.","Juodas, baltas, mėlynas.","Mėlynas, baltas, juodas.","Juodas, mėlynas, baltas.",1,3,"Iš pradžių važiuos baltas ir mėlynas, nes abu yra pagrindiniame kelyje ir jų trajektorijos nesikerta. Juodas važiuos paskutinis, nes juda iš šalutinio kelio. Oranžiniai švyturėliai pirmenybės nesuteikia.",78.jpg
79,Ką draudžia šis ženklas?,"Stovėti transporto priemonėms lyginėmis mėnesio dienomis toje pusėje, kurioje yra šis ženklas.","Stovėti transporto priemonėms nelyginėmis savaitės dienomis toje pusėje, kurioje yra šis ženklas.",,,1,1,"Lyginės mėnesio dienos yra 2, 4, 6, 8 ir t.t. Lyginė mėnesio diena tampa nelygine atėjus 24 valandai.",79.jpg
80,"Kam leidžiama važiuoti per geležinkelio pervažą, jei joje dega raudonas šviesoforo signalas?","Specialiųjų transporto priemonių vairuotojai, važiuodami kelyje su įjungtais mėlynais ir raudonais (arba tik mėlynais) švyturėliais ir specialiaisiais garso signalais.",Automobiliai su įjungtais oranžiniais švyturėliais.,Kelių priežiūros automobiliai.,Visoms transporto priemonėms eismas draudžiamas,1,1,"Specialiųjų tarnybų darbuotojai patys sprendžia, kada saugu važiuoti per geležinkelio pervažą, kada ne.",80.jpg
81,"Lentelė nurodo, kad:",Taip pažymėtas ruožas dažnai būna slidus dėl ledo arba sniego.,Šiame ruože žema oro temperatūra.,,,1,1,"KET 1 pr. 848. „Apledėjęs kelias"". Taip pažymėtas ruožas dažnai būna slidus dėl ledo arba sniego.",81.jpg
82,Kas privalo praleisti?,Dviračio vairuotojas.,Automobilio vairuotojas.,,,1,2,"Dviračio vairuotojas, artėdamas prie vietos, kur reikia kirsti važiuojamąją dalį, visais atvejais privalo sumažinti važiavimo greitį ir gali tęsti judėjimą tik įsitikinęs, kad važiuoti saugu. Be to, dviračio vairuotojas, norėdamas kirsti važiuojamąją dalį ten, kur eismas nereguliuojamas, privalo praleisti važiuojamąja dalimi važiuojančias transporto priemones, išskyrus tuos atvejus, kai kerta išvažiavimus iš šalia kelio esančių teritorijų, gyvenamosios zonos, kiemo, stovėjimo aikštelės, kai kerta važiuojamąją dalį, į kurią kiti vairuotojai suka.",82.jpg
83,Kokiais atvejais leidžiama pravažiuoti šį kelio ženklą?,Neleidžiama jokiais atvejais.,"Leidžiama, jeigu jūsų automobilio įskaitant priekabą masė su kroviniu nėra didesnė negu nurodyta ženkle.","Leidžiama visada, tik saugiu greičiu.","Leidžiama, jeigu vienos ašies apkrova neviršyja nurodytą ženkle.",2,1,"KET 1 priedas. 314. „Ribota masė“ . Draudžiama važiuoti transporto priemonėmis, taip pat transporto priemonių junginiais, kurių masė su kroviniu ar be jo yra didesnė už nurodytą ženkle.",83.jpg
84,"Kokiu didžiausiu greičiu už šio kelio ženklo, kelyje su asfalto danga (ne greitkelyje ir ne automagistralėje), gali važiuoti vairuotojas, neturintis 2 metų vairavimo stažo?",80 km/h.,70 km/h.,60 km/h.,50 km/h.,1,1,"KET 131. Ne gyvenvietėse leidžiama važiuoti:
131.2. A1, A2, A arba B kategorijų transporto priemonėmis, kurias vairuoja pradedantieji vairuotojai, besimokantys vairuoti arba laikantys praktinį vairavimo egzaminą asmenys, autobusais (įskaitant mokyklinius) automagistralėse – ne didesniu kaip 100 km/h greičiu, greitkeliuose – ne didesniu kaip 90 km/h greičiu, keliuose su asfalto ar betono danga – ne didesniu kaip 80 km/h greičiu, kituose keliuose – ne didesniu kaip 70 km/h greičiu;
SEAKį 2 straipsnis. Pagrindinės šio įstatymo sąvokos
31. Mokinys – asmuo, kuris nustatyta tvarka mokosi vairuoti transporto priemonę.
52. Pradedantysis vairuotojas – asmuo, įgijęs teisę vairuoti A, A1, A2, B, B1 kategorijos motorinę transporto priemonę ir turintis vairavimo stažą iki dvejų metų.",84.jpg
85,Kokia eilės tvarka automobiliai važiuos per sankryžą?,"Raudonas, geltonas, mėlynas.","Raudonas kartu su mėlynu, geltonas.","Geltonas, raudonas kartu su mėlynu.",,3,3,"KET 154. Nelygiareikšmių kelių sankryžoje šalutiniu keliu važiuojantis vairuotojas privalo duoti kelią transporto priemonėms, artėjančioms prie sankryžos pagrindiniu keliu.",85.jpg
86,Kas turi pirmumo teisę važiuoti per sankryžą?,Mėlyno automobilio vairuotojas.,Dviratininkas.,,,2,2,"Sankryžoje matome kelio ženklus ir šviesoforą, tačiau pagal kelių eismo taisykles, šviesoforas turi pirmenybę prieš kelio ženklus.  Šviesofore matome, jog dega žalios spalvos signalas leidžiantis eismą nurodytomis kryptimis. Tad dviratininkas vadovaujasi šviesoforu ir važiuoja per sankryžą pirmas. Automobilis suka į kairę, tad turi prealeisti į dešinę sukantį dviratininką (KET 157 p).",86.jpg
87,Ar leidžiama šioje situacijoje apsisukti?,Taip.,Ne.,,,2,2,"Apsisukęs automobilis atsidurtų A juostoje, kurioje jam važiuoti draudžiama.",87.jpg
88,"Kada galioja kelio ženklas, su kuriuo yra naudojama ši papildoma lentelė?",Esant sausai kelio dangai.,Esant drėgnai (šlapiai) kelio dangai.,,,2,1,"KET 1 pr. 845 „Drėgna danga”. Nurodo, kad ženklas, su kuriuo naudojama lentelė, galioja tada, kai važiuojamosios dalies danga drėgna (šlapia).",88.jpg
89,Ką žymi horizontali ištisinė juoda linija?,"Žymi šoninius aptvėrimų (atitvarų) paviršius staigiuose posūkiuose, stačiose nuokalnėse ir kituose pavojinguose ruožuose.","Žymi signalinius įrenginius, pastatytus skiriamosiose juostose arba saugumo salelėse.",Žymi gatvės bortelius pavojinguose ruožuose ir iškilias saugumo saleles.,Žymi šoninius aptvėrimų (atitvarų) paviršius kituose kelių ruožuose.,4,3,Horizontali ištisinė juoda linija žymi šoninius aptvėrimų (atitvarų) paviršius kituose kelių ruožuose.,89.jpg
90,Ką žymi horizontalios juodos ir baltos juostos?,"Žymi, kad kelio statiniai kelia pavojų važiuojančioms transporto priemonėms.","Žymi tiltų, viadukų ir tunelių konstrukcijų apatinį kraštą.","Žymi signalinius įrenginius, pastatytus skiriamosiose juostose arba saugumo salelėse.","Žymi signalinius stulpelius, užtvarus, aptvėrimų (atitvarų) atramas.",3,3,"Horizontalios juodos ir baltos juostos žymi signalinius įrenginius, pastatytus skiriamosiose juostose arba saugumo salelėse.",90.jpg
91,"Kaip pasielgsite, kai važiuodami keliu artėjate prie riboto matomumo kelio vingio?",Važiuosiu nekeičiant greičio.,Atleisiu akseleratorių.,Stabdysiu.,,3,3,"Vairuotojas artėdamas prie kelio vingio turi įvertinti, kad vingis gali būti staigesnis nei jis tikisi, todėl turi pasirinkti saugų greitį ir tinkamą padėtį kelyje, kad neįvažiuotų į priešpriešinio eismo juostą. Saugus greitis priklauso nuo visų aplinkybių: oro sąlygų, kelio ir transporto priemonės techninės būklės, taip pat nuo vairuotojo patirties ir savijautos.",91.jpg
92,Ką žymi vertikalios įstrižos juodos ir baltos juostos ant kelio statinių? ,"Žymi, kad kelio statiniai kelia pavojų važiuojančioms transporto priemonėms.","Žymi tiltų, viadukų ir tunelių konstrukcijų apatinį kraštą.","Žymi signalinius įrenginius, pastatytus skiriamosiose juostose arba saugumo salelėse.","Žymi signalinius stulpelius, užtvarus, aptvėrimų (atitvarų) atramas.",1,3,"Įstrižos juodos ir baltos juostos žymi kelio statinių (tiltų, viadukų atramų, aptvėrimų (atitvarų) galinių dalių ir taip toliau) vertikaliuosius elementus, kai šie elementai kelia pavojų važiuojančioms transporto priemonėms, taip pat žymi nukreipiamųjų kelio ženklų Nr. 407–409 atramas skiriamosiose juostose, kelių atsišakojimo vietose.",92.jpg
93,Kuriomis kryptimis leidžiama važiuoti? ,Važiuoti draudžiama.,Tik į kairę ir apsisukti.,Tik į dešinę.,Visomis nurodytomis kryptimis.,1,3,Reguliuotojo rankos ištiestos į šalis arba nuleistos: iš krūtinės ir nugaros pusės visų transporto priemonių ir pėsčiųjų eismas draudžiamas.,93.jpg
94,Ar į kelio sąvoką įeina šaligatvis?,Ne.,Taip.,,,2,1,"Kelias – eismui skirta ir naudojama žemės arba statinio paviršiaus juosta per visą jos plotį, įskaitant važiuojamąją kelio dalį (toliau – važiuojamoji dalis), sankryžas, šaligatvius, kelkraščius, pėsčiųjų ir dviračių takus, skiriamąsias kelio juostas.",94.jpg
95,"Ar privalo vairuotojas, sukdamas į kairę šioje situacijoje rodyti posūkio signalą?",Taip.,Ne.,,,1,1,"Vairuotojas privalo įspėti atitinkamos krypties posūkių šviesos signalais, o jeigu šviesos signalizacijos nėra arba ji sugedusi, – ranka: prieš pradėdamas važiuoti ir prieš sustodamas; prieš persirikiuodamas, prieš lenkdamas ir baigdamas lenkti, prieš apvažiuodamas kliūtį ir baigdamas ją apvažiuoti, prieš sukdamas į dešinę ar kairę, prieš apsisukdamas, išvažiuodamas iš sankryžos, kurioje eismas vyksta ratu.",95.jpg
96,Kuri transporto priemonė per sankryžą važiuos pirma?,1,2,3,4,3,3,"Nelygiareikšmių kelių sankryžoje šalutiniu keliu važiuojantis vairuotojas privalo duoti kelią transporto priemonėms, artėjančioms prie sankryžos pagrindiniu keliu. Jeigu sankryžoje keičiasi pagrindinio kelio kryptis, pagrindiniu keliu važiuojantys vairuotojai vieni kitų atžvilgiu turi laikytis važiavimo per lygiareikšmių kelių sankryžas taisyklių. Šių taisyklių vieni kitų atžvilgiu turi laikytis ir vairuotojai, važiuojantys šalutiniais keliais.

Automobiliai Nr 3 ir Nr 4 yra pagrindiniame kelyje. Nr 3 toliau važiuoja pagrindiniu keliu, o Nr 4 nori iš jo išvažiuoti, todėl pirmas per sankryžą važiuoja automobilis Nr 3, o Nr 4 jį praleidžia (kliūtis iš dešinės). Toliau važiuoja automobilis Nr 1, kadangi automobiliui Nr 2, jis yra kliūtis iš dešinės - Nr 2 važiuoja paskutinis.",96.jpg
97,Kaip pasielgsite sioje situacijoje?,"Sumažinsite greitį, iki 10 km/h, kad vaikai spėtų pasitraukti.",Panaudosite garso signalą.,"Sustosite ir įjungsite avarinį signalą ir toliau važiuosite tik tada, kai vaikai pasitrauks iš važiuojamosios dalies.",,3,1,"Garso signalo negalima naudoti, kad vaikai neišsigąstų ir nepatektų po kito automobilio ratais. Tokiu atveju reikėtų sustoti ir įjungti avarinį signalą (kiti vairuotojai jūsų lenkti negalės, nes kirsti ištisinę juostą draudžiama).",97.jpg
98,"Vairuotojui, kuris užsidegus geltonam šviesoforo signalui arba reguliuotojui pakėlus ranką aukštyn galėtų sustoti tik staigiai stabdydamas, leidžiama:",Sukti tik į dešinę.,Važiuoti toliau.,Staigiai stabdyti bet kokiu atveju.,,2,2,"Vairuotojui, kuris užsidegus geltonam (arba balto horizontalaus brūkšnio formos) šviesoforo signalui arba reguliuotojui pakėlus ranką aukštyn galėtų sustoti Taisyklių 165 punkte nurodytose vietose tik staigiai stabdydamas, leidžiama važiuoti toliau.",98.jpg
99,Kuria eismo juosta gali važiuoti mopedų vairuotojai?,Bet kuria laisva eismo juosta.,Tik pirmąja nuo važiuojamosios dalies dešiniojo krašto eismo juosta.,"Tiek pirmąja, tiek antrąja nuo važiuojamosios dalies dešiniojo krašto eismo juosta.",Mopedams eismo juostomis važiuoti draudžiama.,2,1,"Mopedų, lengvųjų keturračių vairuotojai privalo važiuoti tik pirmąja nuo važiuojamosios dalies dešiniojo krašto eismo juosta, kuo arčiau jos dešiniojo krašto, išskyrus tuos atvejus, kai jiems reikia sukti į kairę, apsisukti, apvažiuoti kliūtį, važiuoti tiesiai, kai iš pirmosios eismo juostos leidžiama sukti tik į dešinę, sustoti arba stovėti vienpusio eismo kelyje.",99.jpg
100,Ar leidžiama pėsčiajam kirsti kelią su skiriamąja juosta?,Taip.,Ne.,,,2,1,"Pėstiesiems draudžiama eiti per važiuojamąją dalį tose vietose, kur yra transporto ar pėsčiųjų atitvarai, o gyvenvietėse – ir ten, kur yra skiriamoji juosta (išskyrus pėsčiųjų perėjas ir sankryžas).",100.jpg
101,"Ar galite toliau važiuoti, jei sugedo transporto priemonės ir priekabos sukabinimo įtaisas?",Taip.,Ne.,,,2,1,"Motorine transporto priemone, traktoriumi, savaeige mašina važiuoti draudžiama, jeigu: neveikia pagrindinis stabdys (vairuotojas juo negali sustabdyti transporto priemonės); neveikia vairo mechanizmas (vairuotojas negali juo valdyti transporto priemonės); netvarkingas transporto priemonės ir priekabos sukabinimo įtaisas; lyjant, sningant arba esant rūkui vairuotojo pusėje neveikia stiklo valytuvas; tamsiuoju paros metu arba esant blogam matomumui nedega joks (artimųjų, rūko šviesų) priekinis kairysis žibintas, o sugedus bent vienai galinei gabaritinei šviesai neveikia (neįjungta) avarinė šviesos signalizacija arba transporto priemonės gale nėra pritvirtinto avarinio sustojimo ženklo.",101.jpg
102,"Ar privalo transporto priemonė, kuri naudojama darbui kelyje, įjungti oranžinius švyturėlius, jei ji netrukdo eismui?",Ne.,Taip.,,,1,1,"Transporto priemonės oranžinį švyturėlį būtina įjungti tada, kai trukdoma eismui (dėl transporto priemonės didesnių, negu leidžiama, matmenų su kroviniu ar be jo, dirbant kelyje, sustojus ir stovint, važiuojant lėtai, lydint organizuotą dviratininkų grupę, vežant pavojinguosius krovinius). Įjungtas oranžinis švyturėlis nesuteikia pirmenybės, tik atkreipia dėmesį ir įspėja kitus eismo dalyvius apie galimą pavojų. Transporto priemonių su įjungtais oranžiniais švyturėliais vairuotojai, važiuodami keliu, stovėdami ir (ar) atlikdami darbus, užtikrina, kad tai nekenkia eismo saugumui.

Sutartiniais pagrindais ir kelio savininko nurodytomis sąlygomis vykdant kelio infrastruktūros ar aplinkos tvarkymo ar priežiūros darbus, transporto priemonei su įjungtu oranžiniu švyturėliu, kuri būtina darbo funkcijoms toje vietoje atlikti, galima važiuoti veja, šaligatviu, pėsčiųjų ir (ar) dviračių taku, dviračių juosta, skiriamąja juosta, pylimų ar iškasų šlaitais, grioviais, taip pat sustoti ar stovėti minėtose vietose.",102.jpg
103,Šviesoforo arba reguliuotojo signalai draudžia važiuoti per pėsčiųjų perėją. Kur privalote sustoti?,Ne arčiau nei 3 metrai prieš perėją.,Ne arčiau nei 5 metrai prieš perėją.,"Prieš kelio ženklą ""Stop"" arba stop liniją, šviesoforą, o jeigu jų nėra - prieš reguliuojamą pėsčiujų perėją.",,3,1,"Jeigu šviesoforo arba reguliuotojo signalai draudžia važiuoti, vairuotojas privalo sustoti prieš kelio ženklą „Stop“ linija“ ir (ar) „Stop“ liniją, šviesoforą, o jeigu jų nėra, – prieš reguliuojamą pėsčiųjų perėją. Vairuotojams, kurie užsidegus geltonam (arba balto horizontalaus brūkšnio formos) šviesoforo signalui arba reguliuotojui pakėlus ranką aukštyn galėtų sustoti nurodytose vietose tik staigiai stabdydami, leidžiama važiuoti toliau.
",103.jpg
104,Ar netinkamai nustatyta ratų geometrija didina kuro sąnaudas?,Taip.,Ne.,,,1,2,"Netinkamai nustatyta ratų geometrija didina riedėjimo pasipriešinimą, todėl didėja kuro sąnaudos.",104.jpg
105,Kuris kelio ženklas reiškia transporto priemonių remonto dirbtuves?,1,2,3,4,4,1,"1. Nurodomasis kelio ženklas. Stotelė (Maršrutinio transporto sustojimo vieta)

2. Paslaugų kelio ženklas. Kaimo turizmo sodyba

3. Paslaugų kelio ženklas. Autobusų stotis (Vieta, skirta keleiviams, vykstantiems reguliariais reisais vietinio, tolimojo ir tarptautinio susisiekimo maršrutais, aptarnauti)

4. Paslaugų kelio ženklas. Dirbtuvės (Transporto priemonių remonto dirbtuvės)",105.jpg
